mt20id,prfnm,prfpdfrom,prfpdto,시설명,총객석수,시(도),구(군),주소
PF256805,오늘도 아이돌 vol.19,2025.01.31,2025.01.31,옥타바리움 라이브홀,70,서울,마포구,서울특별시 마포구 와우산로18길 16 (서교동)
PF256782,기리보이 콘서트: 2252 : 2522 (02.02),2025.02.02,2025.02.02,블루스퀘어,3389,서울,용산구,서울특별시 용산구 이태원로 294 (한남동)
PF256780,검정치마 단독공연: SONGS TO BRING YOU HOME,2025.02.07,2025.02.09,올림픽공원,41376,서울,송파구,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
PF256754,바다가 시작되는 곳,2025.01.24,2025.01.24,펄스 라이브홀,80,서울,서초구,서울특별시 서초구 주흥길 12 (반포동)
PF256729,LIVE in SETi Vol.1,2025.01.11,2025.01.11,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF256716,"황영웅 앨범 발매 쇼케이스, PANORAMA: SHOWKING",2025.02.08,2025.02.09,올림픽공원,41376,서울,송파구,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
PF256707,우석 단독 콘서트: 火 (花),2025.02.01,2025.02.02,서강대 메리홀,528,서울,마포구,서울특별시 마포구 백범로 35 서강대학교
PF256701,"아웃라이어 콘서트, OUTLIER = ???",2025.01.10,2025.01.10,RED POINT,0,서울,중구,서울특별시 중구 퇴계로88가길 8 (신당동)
PF256697,"막주금라이브 Vol.37, 리플리 (RIPLEY)",2025.01.31,2025.01.31,Cafe PPnF,30,서울,종로구,서울특별시 종로구 성균관로 87 (명륜1가)
PF256693,"둘라밤, 환생특급3",2025.01.20,2025.01.20,생기 스튜디오,70,서울,마포구,서울특별시 마포구 와우산로 137 (서교동)
PF256683,기리보이 콘서트: 2252 : 2522 (02.01),2025.02.01,2025.02.01,블루스퀘어,3389,서울,용산구,서울특별시 용산구 이태원로 294 (한남동)
PF256670,수상한스테이지 (01.10),2025.01.10,2025.01.10,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF256656,NTORE in SETi Vol.1,2025.01.05,2025.01.05,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF256653,LIVE in SETi Vol. 0.1,2025.01.04,2025.01.04,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF256612,Coaltar of the Deepers Live [서울],2025.02.02,2025.02.02,웨스트브릿지 라이브홀,160,서울,마포구,서울특별시 마포구 와우산로25길 6 (서교동)
PF256610,"B, The Second letter, Budung 2nd Full Length Album Showcase",2025.01.24,2025.01.25,CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
PF256609,AFTER THOUGHTS & GOGOHAWK,2025.01.10,2025.01.12,채널 1969,150,서울,마포구,서울특별시 마포구 연희로 35 (연남동)
PF256586,한여름은 될 수 없어!,2025.01.07,2025.01.07,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF256553,Friday hiphop show: STREET PARTY,2025.01.17,2025.01.17,스페이스브릭 (SPACE BRICK),60,서울,마포구,서울특별시 마포구 잔다리로 31(서교동)
PF256516,"롤링 30주년 기념 공연, 피에타 단독 콘서트: 나선의 형태",2025.02.01,2025.02.01,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256511,"QWER The 1st Fan Concert: 1, 2, QWER!",2025.01.25,2025.01.26,예스24 라이브홀 (구. 악스코리아),1051,서울,광진구,서울특별시 광진구 구천면로 20 (광장동)
PF256497,박강수 콘서트: 해피 뉴 이어 [서울],2025.01.19,2025.01.19,베짱이홀,200,서울,마포구,서울특별시 마포구 독막로15길 3-12 (상수동)
PF256496,"롤링 30주년 기념 공연, 중식이밴드 단독 콘서트: 회식",2025.02.02,2025.02.02,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256485,"겸: 우리, 빛으로",2025.02.09,2025.02.09,벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
PF256479,"재즈앳에무, 다니엘 린데만 퀸텟",2025.01.17,2025.01.17,복합문화공간에무,253,서울,종로구,서울특별시 종로구 경희궁1가길 7 (신문로2가)
PF256466,"아일 단독콘서트, RE: Play My Mixtape [서울 (앵콜) ]",2025.02.01,2025.02.02,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256460,Seungeun Lee Quartet: KALT UND SCHWER.,2025.01.12,2025.01.12,음악공간 중력장,0,서울,동작구,서울특별시 동작구 현충로 104(흑석동)
PF256453,재즈 더 하드보일드: 마일스 데이비스,2025.02.22,2025.02.22,마포아트센터,1325,서울,마포구,서울특별시 마포구 대흥로20길 28 (대흥동)
PF256420,"롤링 30주년 기념 공연, 노브레인 단독 콘서트: 노래부인 Ⅱ",2025.01.25,2025.01.25,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256395,KEN KAMIKITA 10주년 내한공연 KK 10th Anniversary Live in Seoul [앵콜],2025.02.14,2025.02.14,무신사 개러지 (구. 왓챠홀),144,서울,마포구,서울특별시 마포구 잔다리로 32(서교동)
