mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,area,genrenm,openrun,prfstate
PF241925,"쏜애플 콘서트, 불구경",2024.06.28,2024.07.07,LG아트센터 서울,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241925_240529_111924.gif,,대중음악,N,공연완료
PF241923,"신인류 단독 콘서트, 이상고온",2024.06.30,2024.06.30,노들섬,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241923_240529_111242.png,,대중음악,N,공연완료
PF241922,Bump2Soul 단독 콘서트: We are Bump2Soul!,2024.06.21,2024.06.22,클럽온에어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241922_240529_111050.jpg,,대중음악,N,공연완료
PF241919,SUMMER INVASION,2024.06.15,2024.06.15,CLUB bender(클럽 벤더),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241919_240529_105910.gif,,대중음악,N,공연완료
PF241900,"XG 첫 월드 투어, THE FIRST HOWL (VIP패키지) [서울]",2024.07.11,2024.07.11,예스24 라이브홀 (구. 악스코리아),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241900_240529_095207.jpg,,대중음악,N,공연완료
PF241897,리치맨과 그루브나이스 1st 정규 앨범 SHOWCASE CONCERT,2024.07.06,2024.07.06,현대카드 언더스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241897_240529_094212.gif,,대중음악,N,공연완료
PF241893,둘라밤 EP 발매 쇼케이스: 둘라밤,2024.06.22,2024.06.22,생기 스튜디오,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241893_240529_092539.jpg,,대중음악,N,공연완료
PF241891,"다섯손가락 콘서트: 다시, 함께",2024.07.06,2024.07.07,구름아래소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241891_240528_132957.gif,,대중음악,N,공연완료
PF241888,정아로 단독 콘서트: & Half [서울],2024.06.29,2024.06.30,클럽온에어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241888_240528_130322.gif,,대중음악,N,공연완료
PF241887,맷 말티스 내한공연 Matt Maltese LIVE [서울],2024.11.08,2024.11.08,무신사 개러지 (구. 왓챠홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241887_240528_125227.gif,,대중음악,N,공연완료
PF241862,"롤링 29주년 기념 공연, 생각의 여름 단독 콘서트: 마음이라는 마을",2024.06.28,2024.06.28,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241862_240528_104138.jpg,,대중음악,N,공연완료
PF241857,콜드 소극장 콘서트: my little blue boat: Pier 2 : 윤슬,2024.06.21,2024.06.23,LG아트센터 서울,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241857_240528_103359.gif,,대중음악,N,공연완료
PF241855,"문래재즈IN, 연중기획: 조아혜 밴드",2024.06.15,2024.06.15,문래재즈IN,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241855_240528_102814.gif,,대중음악,N,공연완료
PF241849,마이 앤트 메리 단독 공연: JUST POP,2024.07.13,2024.07.13,무신사 개러지 (구. 왓챠홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241849_240528_101056.gif,,대중음악,N,공연완료
PF241829,OWEN X MARV CONCERT: TOTAL ECLIPSE,2024.06.23,2024.06.23,얼라이브홀(구. 크랙홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241829_240528_092238.png,,대중음악,N,공연완료
PF241823,"華Doll* (하나돌) THE STAGE, Another Universe Part.Ⅱ: 무대공연 영상 상영회",2024.06.15,2024.06.16,대원 팝콘D 스퀘어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241823_240527_165209.jpg,,대중음악,N,공연완료
